Date,Open,High,Low,Close,Volume,OpenInterest
2021-06-10T14:34:00Z,11.4,11.4,11.4,11.4,401,0
2021-06-10T14:35:00Z,11.36,11.37,11.28,11.28,4535,0
2021-06-10T14:36:00Z,11.28,11.28,11.28,11.28,100,0
2021-06-10T14:37:00Z,11.25,11.25,11.25,11.25,250,0
2021-06-10T14:41:00Z,11.25,11.25,11.25,11.25,100,0
2021-06-10T14:42:00Z,11.25,11.25,11.25,11.25,101,0
2021-06-10T14:44:00Z,11.3,11.3,11.3,11.3,100,0
2021-06-10T14:45:00Z,11.3493,11.3493,11.3493,11.3493,313,0
2021-06-10T14:46:00Z,11.28,11.39,11.28,11.39,270,0
2021-06-10T14:47:00Z,11.25,11.25,11.25,11.25,292,0
2021-06-10T14:49:00Z,11.27,11.27,11.27,11.27,175,0
2021-06-10T14:50:00Z,11.3,11.3201,11.3,11.3201,330,0
2021-06-10T14:51:00Z,11.27,11.31,11.27,11.31,209,0
2021-06-10T14:52:00Z,11.25,11.27,11.15,11.15,1095,0
2021-06-10T14:53:00Z,11.0138,11.0138,11.01,11.01,362,0
2021-06-10T14:54:00Z,11.03,11.03,11.03,11.03,5000,0
2021-06-10T14:56:00Z,11.05,11.05,11.05,11.05,330,0
2021-06-10T14:58:00Z,11.06,11.06,11.03,11.03,500,0
2021-06-10T14:59:00Z,11.03,11.03,11,11,868,0
2021-06-10T15:00:00Z,11,11.02,11,11.02,500,0
2021-06-10T15:01:00Z,11.01,11.01,11.01,11.01,200,0
2021-06-10T15:02:00Z,11,11,11,11,404,0
2021-06-10T15:03:00Z,11.02,11.02,11.02,11.02,200,0
2021-06-10T15:04:00Z,11,11,11,11,600,0
2021-06-10T15:05:00Z,11,11,11,11,200,0
2021-06-10T15:06:00Z,11,11,11,11,400,0
2021-06-10T15:07:00Z,11,11,11,11,250,0
2021-06-10T15:08:00Z,11,11,11,11,209,0
2021-06-10T15:09:00Z,10.97,11.12,10.97,11,1327,0
2021-06-10T15:10:00Z,11.01,11.09,11,11.09,380,0
2021-06-10T15:11:00Z,11.06,11.06,11.06,11.06,100,0
2021-06-10T15:12:00Z,11,11,11,11,502,0
2021-06-10T15:15:00Z,11.2589,11.2589,11,11,1347,0
2021-06-10T15:16:00Z,11,11,11,11,305,0
2021-06-10T15:17:00Z,11.0912,11.0912,11.0912,11.0912,200,0
2021-06-10T15:22:00Z,11,11.02,11,11,400,0
2021-06-10T15:23:00Z,11.2,11.2,11,11,300,0
2021-06-10T15:24:00Z,11,11,11,11,201,0
2021-06-10T15:27:00Z,10.95,10.99,10.95,10.99,200,0
2021-06-10T15:31:00Z,11,11,11,11,425,0
2021-06-10T15:32:00Z,11,11,11,11,825,0
2021-06-10T15:34:00Z,10.98,10.98,10.98,10.98,203,0
2021-06-10T15:37:00Z,11.04,11.05,11.04,11.05,200,0
2021-06-10T15:38:00Z,11.05,11.05,11.05,11.05,200,0
2021-06-10T15:40:00Z,11.05,11.05,11.05,11.05,100,0
2021-06-10T15:41:00Z,11.02,11.03,11,11,535,0
2021-06-10T15:42:00Z,11,11,11,11,100,0
2021-06-10T15:49:00Z,11.05,11.05,11.05,11.05,272,0
2021-06-10T15:50:00Z,11.05,11.05,11.05,11.05,500,0
2021-06-10T15:51:00Z,11.05,11.08,11.05,11.08,520,0
2021-06-10T15:52:00Z,11.01,11.02,11.01,11.02,210,0
2021-06-10T15:53:00Z,11,11.02,11,11,589,0
2021-06-10T15:55:00Z,11,11,11,11,300,0
2021-06-10T15:56:00Z,11,11,11,11,110,0
2021-06-10T15:57:00Z,11,11.0699,11,11.0699,600,0
