Date,Open,High,Low,Close,Volume,OpenInterest
2021-11-10T15:20:00Z,9.77,9.77,9.77,9.77,371250,0
2021-11-10T18:59:00Z,9.77,9.77,9.77,9.77,1000,0
2021-11-10T19:04:00Z,9.78,9.78,9.78,9.78,900,0
2021-11-10T19:35:00Z,9.75,9.75,9.75,9.75,100,0
2021-11-11T14:30:00Z,10.73,9.76,9.76,9.76,201,0
2021-11-11T14:31:00Z,10.73,9.76,9.76,9.76,200,0
2021-11-11T19:06:00Z,9.79,9.82,9.78,9.78,2500,0
2021-11-11T19:07:00Z,9.78,9.78,9.78,9.78,1400,0
2021-11-11T20:15:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-11T20:55:00Z,9.75,9.78,9.75,9.78,20000,0
2021-11-12T15:22:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-12T15:26:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-12T16:10:00Z,9.78,9.78,9.78,9.78,600,0
2021-11-12T16:13:00Z,9.76,9.78,9.76,9.78,200,0
2021-11-12T16:25:00Z,9.8,9.8,9.78,9.78,500,0
2021-11-12T16:26:00Z,9.75,9.75,9.75,9.75,1000,0
2021-11-12T16:30:00Z,9.72,9.78,9.72,9.78,480,0
2021-11-12T17:09:00Z,9.75,9.75,9.75,9.75,500000,0
2021-11-12T17:35:00Z,9.75,9.75,9.75,9.75,440000,0
2021-11-15T14:30:00Z,9.78,9.78,9.78,9.78,105,0
2021-11-15T14:40:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T14:48:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T14:57:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T15:06:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T15:35:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T16:36:00Z,9.78,9.78,9.78,9.78,200,0
2021-11-15T17:07:00Z,9.78,9.78,9.78,9.78,204,0
2021-11-15T17:11:00Z,9.755,9.78,9.73,9.78,2900,0
2021-11-15T17:29:00Z,9.755,9.78,9.73,9.78,4000,0
2021-11-15T17:46:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T17:51:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T17:56:00Z,9.78,9.78,9.78,9.78,300,0
2021-11-15T18:16:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T18:22:00Z,9.78,9.78,9.78,9.78,301,0
2021-11-15T18:54:00Z,9.78,9.78,9.78,9.78,200,0
2021-11-15T18:59:00Z,9.78,9.78,9.78,9.78,200,0
2021-11-15T19:20:00Z,9.78,9.78,9.78,9.78,201,0
2021-11-15T19:23:00Z,9.78,9.78,9.78,9.78,200,0
2021-11-15T19:26:00Z,9.78,9.78,9.78,9.78,200,0
2021-11-15T19:29:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T19:56:00Z,9.78,9.78,9.78,9.78,200,0
2021-11-15T19:58:00Z,9.78,9.78,9.78,9.78,200,0
2021-11-15T20:45:00Z,9.78,9.78,9.78,9.78,300,0
2021-11-15T20:46:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T20:48:00Z,9.78,9.78,9.78,9.78,300,0
2021-11-15T20:49:00Z,9.78,9.78,9.78,9.78,100,0
2021-11-15T20:54:00Z,9.78,9.78,9.78,9.78,300,0
2021-11-15T20:55:00Z,9.78,9.78,9.78,9.78,700,0
2021-11-15T20:56:00Z,9.78,9.78,9.78,9.78,400,0
2021-11-15T20:57:00Z,9.78,9.78,9.78,9.78,400,0
2021-11-15T20:58:00Z,9.78,9.78,9.78,9.78,300,0
2021-11-15T20:59:00Z,9.79,9.79,9.79,9.79,200,0
2021-11-16T16:03:00Z,9.75,9.762,9.75,9.762,1500,0
2021-11-16T16:06:00Z,9.78,9.78,9.78,9.78,122500,0
2021-11-16T16:07:00Z,9.78,9.78,9.78,9.78,325,0
2021-11-16T16:10:00Z,9.77,9.77,9.77,9.77,1502,0
2021-11-16T16:25:00Z,9.77,9.77,9.77,9.77,100,0
2021-11-16T16:26:00Z,9.77,9.77,9.77,9.77,400,0
2021-11-16T16:27:00Z,9.77,9.77,9.77,9.77,100,0
2021-11-16T16:35:00Z,9.77,9.77,9.77,9.77,200,0
2021-11-16T16:36:00Z,9.77,9.77,9.77,9.77,100,0
2021-11-16T16:38:00Z,9.77,9.77,9.77,9.77,500,0
2021-11-16T17:16:00Z,9.77,9.76,9.75,9.76,12300,0
2021-11-16T17:17:00Z,9.77,9.77,9.765,9.77,12000,0
2021-11-16T17:28:00Z,9.74,9.77,9.73,9.77,13100,0
2021-11-16T17:32:00Z,9.77,9.77,9.76,9.76,5000,0
2021-11-16T17:57:00Z,9.75,9.75,9.75,9.75,2000,0
2021-11-16T18:00:00Z,9.76,9.76,9.76,9.76,100,0
2021-11-16T18:01:00Z,9.76,9.76,9.76,9.76,500,0
2021-11-16T18:04:00Z,9.76,9.76,9.76,9.76,2000,0
2021-11-16T18:27:00Z,9.77,9.77,9.77,9.77,233,0
2021-11-16T18:29:00Z,9.77,9.77,9.77,9.77,232,0
2021-11-16T18:31:00Z,9.77,9.77,9.77,9.77,1100,0
2021-11-16T20:33:00Z,9.77,9.77,9.75,9.75,2000,0
2021-11-16T20:34:00Z,9.75,9.77,9.75,9.75,8881,0
2021-11-16T20:37:00Z,9.76,9.76,9.76,9.76,269,0
2021-11-16T20:50:00Z,9.74,9.74,9.74,9.74,2000,0
2021-11-16T20:53:00Z,9.74,9.74,9.74,9.74,1144,0
2021-11-16T20:57:00Z,9.75,9.75,9.75,9.75,100,0
2021-11-16T20:58:00Z,9.75,9.75,9.75,9.75,523,0
2021-11-17T14:47:00Z,9.73,9.73,9.73,9.73,200,0
2021-11-17T15:35:00Z,9.77,9.78,9.77,9.78,1701,0
2021-11-17T15:36:00Z,9.78,9.78,9.78,9.78,599,0
2021-11-17T15:43:00Z,9.79,9.79,9.79,9.79,363,0
2021-11-17T15:44:00Z,9.79,9.79,9.79,9.79,1200,0
2021-11-17T17:37:00Z,9.785,9.785,9.785,9.785,766,0
2021-11-17T18:29:00Z,9.785,9.79,9.785,9.79,474,0
2021-11-17T20:29:00Z,9.78,9.78,9.78,9.78,344,0
2021-11-17T20:40:00Z,9.7802,9.785,9.7802,9.785,1400,0
2021-11-18T14:27:00Z,9.78,9.8,9.78,9.8,1269,0
2021-11-18T14:30:00Z,9.78,9.78,9.78,9.78,3873,0
2021-11-18T17:43:00Z,9.765,9.79,9.765,9.79,12739,0
2021-11-18T17:44:00Z,9.785,9.79,9.77,9.79,11490,0
2021-11-18T17:52:00Z,9.75,9.785,9.75,9.785,33608,0
2021-11-18T17:53:00Z,9.79,9.79,9.75,9.75,3258,0
2021-11-18T19:19:00Z,9.8,9.8,9.8,9.8,600,0
2021-11-18T20:54:00Z,9.8,9.8,9.79,9.8,15212,0
2021-11-18T20:55:00Z,9.8,9.8,9.8,9.8,12696,0
2021-11-19T19:55:00Z,9.7901,9.7901,9.7901,9.7901,1000,0
2021-11-19T19:59:00Z,9.8,9.8,9.8,9.8,2500,0
