Date,Open,High,Low,Close,Volume,OpenInterest
2021-03-10T15:45:00Z,10.1,10.15,10.1,10.15,732353,0
2021-03-10T15:46:00Z,10.11,10.1199,10.1,10.1,154498,0
2021-03-10T15:47:00Z,10.1,10.1,10.05,10.055,304867,0
2021-03-10T15:48:00Z,10.05,10.0689,10.05,10.06,149969,0
2021-03-10T15:49:00Z,10.0625,10.065,10.05,10.05,74585,0
2021-03-10T15:50:00Z,10.06,10.06,10.05,10.05,60357,0
2021-03-10T15:51:00Z,10.05,10.06,10.05,10.05,33617,0
2021-03-10T15:52:00Z,10.055,10.055,10.05,10.055,61110,0
2021-03-10T15:53:00Z,10.055,10.055,10.05,10.05,113700,0
2021-03-10T15:54:00Z,10.055,10.055,10.05,10.055,4608,0
2021-03-10T15:55:00Z,10.05,10.055,10.03,10.04,221414,0
2021-03-10T15:56:00Z,10.04,10.04,10.01,10.02,70535,0
2021-03-10T15:57:00Z,10.02,10.025,10.02,10.025,2316,0
2021-03-10T15:58:00Z,10.025,10.025,10.025,10.025,995,0
2021-03-10T15:59:00Z,10.025,10.025,10.02,10.025,3537,0
2021-03-10T16:00:00Z,10.025,10.025,10.02,10.025,3716,0
2021-03-10T16:01:00Z,10.03,10.035,10.02,10.02,141995,0
2021-03-10T16:02:00Z,10.02,10.025,10.01,10.01,258791,0
2021-03-10T16:03:00Z,10.01,10.02,10.01,10.01,59747,0
2021-03-10T16:04:00Z,10.015,10.015,10.01,10.01,5008,0
2021-03-10T16:05:00Z,10.015,10.015,10.01,10.01,1986,0
2021-03-10T16:06:00Z,10.02,10.025,10.01,10.01,275863,0
2021-03-10T16:07:00Z,10.01,10.015,10.01,10.01,2492,0
2021-03-10T16:08:00Z,10.01,10.015,10.01,10.01,2281,0
2021-03-10T16:09:00Z,10.015,10.015,10.01,10.01,2237,0
2021-03-10T16:10:00Z,10.015,10.015,10.01,10.01,7070,0
2021-03-10T16:11:00Z,10.015,10.015,10.01,10.01,1739,0
2021-03-10T16:12:00Z,10.015,10.015,10.01,10.01,142191,0
2021-03-10T16:13:00Z,10.01,10.015,10.01,10.01,509775,0
2021-03-10T16:14:00Z,10.01,10.015,10.01,10.01,3154,0
