Date,Open,High,Low,Close,Volume,OpenInterest
2021-03-04T12:23:00Z,227.45,227.45,227.45,227.45,379,0
2021-03-04T12:25:00Z,227.3,227.3,227.3,227.3,232,0
2021-03-04T12:26:00Z,227.27,227.27,227.23,227.23,1576,0
2021-03-04T12:27:00Z,227.2,227.21,227.2,227.21,851,0
2021-03-04T12:33:00Z,227.06,227.06,227,227,874,0
2021-03-04T12:37:00Z,227.1,227.1,227.1,227.1,361,0
2021-03-04T12:39:00Z,227.1,227.1,227.09,227.1,5064,0
2021-03-04T12:40:00Z,227.1,227.1,227.1,227.1,852,0
2021-03-04T12:41:00Z,227.1,227.17,227.1,227.17,1581,0
2021-03-04T12:42:00Z,227.09,227.09,227.09,227.09,260,0
2021-03-04T12:43:00Z,227.12,227.12,227.1,227.1,400,0
2021-03-04T12:45:00Z,227.26,227.26,227.2,227.2,718,0
2021-03-04T12:46:00Z,227.15,227.15,227.15,227.15,150,0
2021-03-04T12:47:00Z,227.12,227.12,227.1,227.1,1702,0
2021-03-04T12:48:00Z,227.08,227.08,227.08,227.08,237,0
2021-03-04T12:49:00Z,227.1,227.1,227.1,227.1,267,0
2021-03-04T12:51:00Z,227.01,227.05,227,227,1413,0
2021-03-04T12:54:00Z,227,227.15,227,227.05,800,0
2021-03-04T12:57:00Z,227.1,227.1,227.1,227.1,1120,0
2021-03-04T12:58:00Z,227.15,227.15,227.15,227.15,701,0
2021-03-04T12:59:00Z,227.15,227.18,227.15,227.18,968,0
2021-03-04T13:00:00Z,227.42,227.56,226.8,227.15,12754,0
2021-03-04T13:01:00Z,226.992,226.992,226.992,226.992,924,0
2021-03-04T13:02:00Z,227.02,227.15,227.02,227.15,672,0
2021-03-04T13:03:00Z,227.02,227.02,227.02,227.02,248,0
2021-03-04T13:08:00Z,226.8101,226.8101,226.74,226.8,2353,0
2021-03-04T13:09:00Z,226.876,226.88,226.876,226.88,732,0
2021-03-04T13:10:00Z,226.79,226.8,226.79,226.8,1015,0
2021-03-04T13:11:00Z,226.57,226.57,226.57,226.57,132,0
2021-03-04T13:13:00Z,226.8,226.91,226.8,226.9,526,0
2021-03-04T13:17:00Z,226.6142,226.9,226.6142,226.8,819,0
2021-03-04T13:21:00Z,226.99,226.99,226.99,226.99,802,0
2021-03-04T13:23:00Z,227.15,227.2,227,227.2,3364,0
2021-03-04T13:24:00Z,227.3,227.65,227.3,227.65,6108,0
