Date,Open,High,Low,Close,Volume,OpenInterest
2021-03-04T15:11:00Z,2993.37,2993.37,2988.62,2989.8455,16754,0
2021-03-04T15:12:00Z,2987.04,2991.69,2987.04,2990.56,22111,0
2021-03-04T15:13:00Z,2990.11,2998.8999,2988.465,2998.8999,12531,0
2021-03-04T15:14:00Z,2998.85,3004.6999,2997.2,3004.6,16108,0
2021-03-04T15:15:00Z,3001,3002.87,2995,3000.72,19418,0
2021-03-04T15:16:00Z,3000.41,3000.425,2995,2998.58,10916,0
2021-03-04T15:17:00Z,2998.57,3001.185,2992.4543,2994.91,11491,0
2021-03-04T15:18:00Z,2995.8699,2995.95,2991,2993.59,28756,0
2021-03-04T15:19:00Z,2995.84,2995.84,2992.8075,2993,9084,0
2021-03-04T15:20:00Z,2992.86,2998.09,2991.11,2991.9,8793,0
2021-03-04T15:21:00Z,2994.75,3002.86,2994.445,3001.63,15801,0
2021-03-04T15:22:00Z,3001.17,3006,3001.17,3006,19868,0
2021-03-04T15:23:00Z,3007.23,3008.2412,3004,3005.01,15477,0
2021-03-04T15:24:00Z,3005.575,3010.592,3005.575,3008.69,16254,0
2021-03-04T15:25:00Z,3008.6,3009.165,3004.695,3005.0001,13616,0
2021-03-04T15:26:00Z,3006.61,3010.15,3005.6603,3005.6603,16398,0
2021-03-04T15:27:00Z,3008.13,3013.88,3008.13,3013.03,12719,0
2021-03-04T15:28:00Z,3013.63,3019.9,3013.01,3016.4144,24535,0
2021-03-04T15:29:00Z,3018.9799,3021.815,3016.8859,3020.32,15102,0
2021-03-04T15:30:00Z,3019.78,3022.8099,3017.24,3022.8099,12739,0
